#"Step" "Time (ps)" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Temperature (K)"
840 0.8400000000000006 -20864.665319724998 3834.2404905995354 293.35299541268483
850 0.8500000000000006 -20829.35285556502 3756.0138326933375 286.21769320352877
860 0.8600000000000007 -22015.593333417168 3940.7918150710175 300.2046246897196
870 0.8700000000000007 -22153.072039317423 3867.5866960287967 295.09189188730346
880 0.8800000000000007 -21098.11934964306 3818.439086954506 291.23715534232326
890 0.8900000000000007 -21051.175336906384 3679.810681326431 281.4546019497971
900 0.9000000000000007 -22293.52291944017 3801.8581713920576 289.90792733145196
910 0.9100000000000007 -22359.21033872879 3908.7267802632414 298.5924259195191
920 0.9200000000000007 -21191.61511761753 3962.1811948865943 303.33171000200815
930 0.9300000000000007 -21666.360469397452 4028.5784216838656 308.0268532914915
940 0.9400000000000007 -22862.65126746342 3986.022568366723 305.33977221599054
950 0.9500000000000007 -22078.958593800915 3990.6719246482244 304.53991172875664
960 0.9600000000000007 -21616.07338015741 4053.2457612528233 310.1410276234059
970 0.9700000000000008 -21618.939568528946 3898.7064571500523 298.18318685118356
980 0.9800000000000008 -21870.006364998986 3910.4548400957137 298.83959097550763
990 0.9900000000000008 -22379.89394839907 4010.7526301487815 306.6301572326774
1000 1.0000000000000007 -22206.69615878866 3986.576862892136 305.0113017935832
